year,category,performer,song,place_contest,pts_orch_fin,pts_tele_fin,perc_tele_supfin,youtube_url_studio,youtube_url_live,start
2019,Big Artists,Loredana Bertè,Cosa ti aspetti da me,4,,,,https://www.youtube.com/watch?v=ss3NhlKY86M,,00:00:50
2019,Big Artists,Simone Cristicchi,Abbi cura di me,5,,,,https://www.youtube.com/watch?v=0o6zza76pDg,,00:01:10
2019,Big Artists,Daniele Silvestri,Argentovivo,6,,,,https://www.youtube.com/watch?v=rP_y812oEe0,,00:01:02
2019,Big Artists,Irama,La ragazza con il cuore di latta,7,,,,https://www.youtube.com/watch?v=ov3pyu9hWio,,00:01:25
2019,Big Artists,Arisa,Mi sento bene,8,,,,https://www.youtube.com/watch?v=wVnXfZa7S8I,,00:00:31
2019,Big Artists,Achille Lauro,Rolls Royce,9,,,,https://www.youtube.com/watch?v=uS8Hk8aoLZY,https://www.youtube.com/watch?v=JF37PbJu5Po,00:01:00
2019,Big Artists,Enrico Nigiotti,Nonno Hollywood,10,,,,https://www.youtube.com/watch?v=qX0Zee7f6u8,,00:00:44
2019,Big Artists,Boomdabash,Per un milione,11,,,,https://www.youtube.com/watch?v=fL1rrLus1_8,,00:00:56
2019,Big Artists,Ghemon,Rose Viola,12,,,,https://www.youtube.com/watch?v=gF1XRQGhe8s,,00:00:50
2019,Big Artists,Ex-Otago,Sola una canzone,13,,,,https://www.youtube.com/watch?v=LSb0_KS49Nc,,00:00:47
2019,Big Artists,Motta,Dov'è l'Italia,14,,,,https://www.youtube.com/watch?v=45FKGR0uT0U,,00:01:13
2019,Big Artists,Francesco Renga,Aspetto che torni,15,,,,https://www.youtube.com/watch?v=zLskXkQ_lB4,,00:00:45
2019,Big Artists,Paola Turci,L'ultimo ostacolo,16,,,,https://www.youtube.com/watch?v=Tt9ni9rFlrY,,00:01:00
2019,Big Artists,The Zen Circus,L'amore è una dittatura,17,,,,https://www.youtube.com/watch?v=B7Gx2gsjPUU,,00:01:14
2019,Big Artists,Federica Carta & Shade,Senza farlo apposta,18,,,,https://www.youtube.com/watch?v=QpzrjD_fOUw,,00:00:56
2019,Big Artists,Nek,Mi farò trovare pronto,19,,,,https://www.youtube.com/watch?v=Ks4FhE1rmg0,,00:00:44
2019,Big Artists,Negrita,I ragazzi stanno bene,20,,,,https://www.youtube.com/watch?v=KtKZWhQsz_A,,00:01:12
